cultivar,ciclo,irrigacao,rep,avaliacao,avg_area_f1,avg_area_f2,avg_area_total
CSC 497,medio,nao_irrigado,2,5,772.1323867,915.7197,1382.612187
CSC 4707,longo,irrigado,2,1,231.2604,288.5012667,519.7616667
CSC 4707,longo,irrigado,2,2,815.787,811.4829333,1627.269933
CSC 4707,longo,irrigado,2,3,1145.336827,1098.421427,2243.758253
CSC 4707,longo,irrigado,2,4,1369.734333,1347.355333,2717.089667
CSC 4707,longo,irrigado,2,5,1444.062667,1526.602,2461.797333
CSC 4707,longo,nao_irrigado,2,1,178.0187733,244.3765333,422.3953067
CSC 4707,longo,nao_irrigado,2,2,622.0438933,657.8030667,1279.84696
CSC 4707,longo,nao_irrigado,2,3,783.2220667,797.1968667,1580.418933
CSC 4707,longo,nao_irrigado,2,4,918.1293333,906.9666667,1825.096
CSC 4707,longo,nao_irrigado,2,5,1206.287133,1231.435333,2437.722467
CSC 4501,longo,irrigado,2,1,212.5629333,289.3492,501.9121333
CSC 4501,longo,irrigado,2,2,718.1909467,918.1679733,1636.35892
CSC 4501,longo,irrigado,2,3,1031.318773,1296.318333,2327.637107
CSC 4501,longo,irrigado,2,4,1350.253333,1484.312667,2834.566
CSC 4501,longo,irrigado,2,5,1368.929333,1522.984867,2891.9142
CSC 4501,longo,nao_irrigado,2,1,128.9502667,142.5172,271.4674667
CSC 4501,longo,nao_irrigado,2,2,633.1056667,548.6558,1181.761467
CSC 4501,longo,nao_irrigado,2,3,737.65692,647.4132,1385.07012
CSC 4501,longo,nao_irrigado,2,4,864.4626667,754.0274,1618.490067
CSC 4501,longo,nao_irrigado,2,5,1093.619333,1082.564,1815.328667
BAG 06,longo,irrigado,2,1,197.9226667,201.2929333,399.2156
BAG 06,longo,irrigado,2,2,609.9109333,562.8345333,1172.745467
BAG 06,longo,irrigado,2,3,828.3986667,827.73964,1656.138307
BAG 06,longo,irrigado,2,4,1021.813333,952.798,1974.611333
BAG 06,longo,irrigado,2,5,1070.3924,1124.424,1463.210933
BAG 06,longo,nao_irrigado,2,1,93.48733333,143.1268533,236.6141867
BAG 06,longo,nao_irrigado,2,2,443.0033067,546.26656,989.2698667
BAG 06,longo,nao_irrigado,2,3,554.9133333,642.3256,1197.238933
BAG 06,longo,nao_irrigado,2,4,677.8529333,722.0313333,1399.884267
BAG 06,longo,nao_irrigado,2,5,968.6082,1050.364,2018.9722
CSC 4302,medio,irrigado,2,1,159.0894667,162.0304,321.1198667
CSC 4302,medio,irrigado,2,2,499.8191333,591.9004,1091.719533
CSC 4302,medio,irrigado,2,3,582.2082,710.976,1293.1842
CSC 4302,medio,irrigado,2,4,589.2814667,694.8223333,1284.1038
CSC 4302,medio,irrigado,2,5,564.0474,694.8116,839.2393333
CSC 4302,medio,nao_irrigado,2,1,127.19,171.1215333,298.3115333
CSC 4302,medio,nao_irrigado,2,2,721.7479733,747.63248,1469.380453
CSC 4302,medio,nao_irrigado,2,3,819.9622667,895.1557067,1715.117973
CSC 4302,medio,nao_irrigado,2,4,866.6093333,724.8864,1349.866933
CSC 4302,medio,nao_irrigado,2,5,964.1216667,784.7945,1487.318
CSC 4303,medio,irrigado,2,1,118.0666667,119.4512667,237.5179333
CSC 4303,medio,irrigado,2,2,909.7573333,964.1109333,1873.868267
CSC 4303,medio,irrigado,2,3,1112.731107,1234.062853,2346.79396
CSC 4303,medio,irrigado,2,4,1267.338333,1386.156333,2653.494667
CSC 4303,medio,irrigado,2,5,1452.005333,1418.463667,2870.469
CSC 4303,medio,nao_irrigado,2,1,35.01213333,44.61202667,79.62416
CSC 4303,medio,nao_irrigado,2,2,580.74632,634.3743467,1215.120667
CSC 4303,medio,nao_irrigado,2,3,761.6266,883.5207733,1645.147373
CSC 4303,medio,nao_irrigado,2,4,888.3765333,1012.69,1901.066533
CSC 4303,medio,nao_irrigado,2,5,1051.495293,973.3845333,2024.879827
CSC 444,longo,irrigado,2,1,79.73793333,106.3673333,186.1052667
CSC 444,longo,irrigado,2,2,627.9214667,588.7233333,1216.6448
CSC 444,longo,irrigado,2,3,985.2598933,975.1362133,1960.396107
CSC 444,longo,irrigado,2,4,1262.841067,1163.9656,2426.806667
CSC 444,longo,irrigado,2,5,1396.031,1277.942867,2208.6302
CSC 444,longo,nao_irrigado,2,1,170.499,231.5716667,402.0706667
CSC 444,longo,nao_irrigado,2,2,602.7818533,693.0835333,1295.865387
CSC 444,longo,nao_irrigado,2,3,694.715,773.8948,1468.6098
CSC 444,longo,nao_irrigado,2,4,779.7766667,853.622,1633.398667
CSC 444,longo,nao_irrigado,2,5,1033.4268,1148.6384,2182.0652
CSC 467,longo,irrigado,2,1,128.3706667,148.442,276.8126667
CSC 467,longo,irrigado,2,2,708.6683333,601.8824,1310.550733
CSC 467,longo,irrigado,2,3,1081.278147,869.0350667,1950.313213
CSC 467,longo,irrigado,2,4,1387.283333,997.9853333,2385.268667
CSC 467,longo,irrigado,2,5,1514.8812,1177.146133,2692.027333
CSC 467,longo,nao_irrigado,2,1,144.3096667,204.6717867,348.9814533
CSC 467,longo,nao_irrigado,2,2,577.4705067,663.0538133,1240.52432
CSC 467,longo,nao_irrigado,2,3,693.8026667,849.3501333,1543.1528
CSC 467,longo,nao_irrigado,2,4,776.1273333,813.4793333,1589.606667
CSC 467,longo,nao_irrigado,2,5,1078.614133,1092.8036,2171.417733
CSC 4704,extra_longo,irrigado,3,1,116.44808,164.42608,280.87416
CSC 4704,extra_longo,irrigado,3,2,713.1226667,820.5418667,1533.664533
CSC 4704,extra_longo,irrigado,3,3,1110.33328,1196.4876,2306.82088
CSC 4704,extra_longo,irrigado,3,4,1360.342667,1523.854267,2884.196933
CSC 4704,extra_longo,irrigado,3,5,1277.696,2004.45,1945.846
CSC 4704,extra_longo,nao_irrigado,3,1,121.6086667,185.0941867,306.7028533
CSC 4704,extra_longo,nao_irrigado,3,2,703.3682133,720.27536,1423.643573
CSC 4704,extra_longo,nao_irrigado,3,3,956.4473333,880.0904,1836.537733
CSC 4704,extra_longo,nao_irrigado,3,4,1089.97,992.0283333,2081.998333
CSC 4704,extra_longo,nao_irrigado,3,5,1232.079333,1123.694133,2355.773467
CSC 416,longo,irrigado,3,1,101.0758,137.3609067,238.4367067
CSC 416,longo,irrigado,3,2,520.2232,544.1156,1064.3388
CSC 416,longo,irrigado,3,3,804.7960667,898.64404,1703.440107
CSC 416,longo,irrigado,3,4,987.1446667,994.1213333,1981.266
CSC 416,longo,irrigado,3,5,1182.0298,1166.698307,2348.728107
CSC 416,longo,nao_irrigado,3,1,72.58309333,120.83372,193.4168133
CSC 416,longo,nao_irrigado,3,2,554.0117333,536.6022667,1090.614
CSC 416,longo,nao_irrigado,3,3,753.158,714.3892,1467.5472
CSC 416,longo,nao_irrigado,3,4,851.69,803.1753333,1654.865333
CSC 416,longo,nao_irrigado,3,5,956.4473333,897.1564,1853.603733
CSC 447,longo,irrigado,3,1,110.7894667,154.0877333,264.8772
CSC 447,longo,irrigado,3,2,570.423,690.7973333,1261.220333
CSC 447,longo,irrigado,3,3,920.0870933,1005.78632,1925.873413
CSC 447,longo,irrigado,3,4,1186.419733,1287.141333,2473.561067
CSC 447,longo,irrigado,3,5,1196.337333,1222.7628,2419.100133
CSC 447,longo,nao_irrigado,3,1,106.2192133,165.7226667,271.94188
CSC 447,longo,nao_irrigado,3,2,541.3786,593.1712267,1134.549827
CSC 447,longo,nao_irrigado,3,3,737.1653333,698.5382133,1435.703547
CSC 447,longo,nao_irrigado,3,4,806.5026667,801.7263333,1608.229
CSC 447,longo,nao_irrigado,3,5,879.06,912.56088,1791.62088
CSC 439,longo,irrigado,3,1,62.00646667,110.5211333,172.5276
CSC 439,longo,irrigado,3,2,556.5233333,674.4826667,1231.006
CSC 439,longo,irrigado,3,3,907.79528,1039.1584,1946.95368
CSC 439,longo,irrigado,3,4,1281.9464,1271.202333,2553.148733
CSC 439,longo,irrigado,3,5,1302.812,1287.39464,2161.075093
CSC 439,longo,nao_irrigado,3,1,77.28858667,139.1769867,216.4655733
CSC 439,longo,nao_irrigado,3,2,607.8436933,580.5187733,1188.362467
CSC 439,longo,nao_irrigado,3,3,873.5323333,764.2133333,1637.745667
CSC 439,longo,nao_irrigado,3,4,1009.577333,852.656,1862.233333
CSC 439,longo,nao_irrigado,3,5,1157.107,947.2810667,2104.388067
CSC 4703,extra_longo,irrigado,3,1,122.5961333,200.7004533,323.2965867
CSC 4703,extra_longo,irrigado,3,2,760.6069333,787.31576,1547.922693
CSC 4703,extra_longo,irrigado,3,3,1105.15552,1183.650533,2288.806053
CSC 4703,extra_longo,irrigado,3,4,1407.301,1471.110667,2878.411667
CSC 4703,extra_longo,irrigado,3,5,1562.07352,1621.059627,3183.133147
CSC 4703,extra_longo,nao_irrigado,3,1,83.77366667,130.9037333,214.6774
CSC 4703,extra_longo,nao_irrigado,3,2,618.5298,662.36688,1280.89668
CSC 4703,extra_longo,nao_irrigado,3,3,855.7686667,936.7409333,1792.5096
CSC 4703,extra_longo,nao_irrigado,3,4,949.0520667,1033.308733,1982.3608
CSC 4703,extra_longo,nao_irrigado,3,5,1069.134453,1148.7028,2217.837253
CSC 4304,longo,irrigado,3,1,93.12025333,127.15136,220.2716133
CSC 4304,longo,irrigado,3,2,597.4108933,639.1163333,1236.527227
CSC 4304,longo,irrigado,3,3,971.0768667,951.32324,1922.400107
CSC 4304,longo,irrigado,3,4,1111.876733,1149.432667,2261.3094
CSC 4304,longo,irrigado,3,5,1274.400867,1369.257773,2643.65864
CSC 4304,longo,nao_irrigado,3,1,87.4552,164.2371733,251.6923733
CSC 4304,longo,nao_irrigado,3,2,560.9926933,523.6600133,1084.652707
CSC 4304,longo,nao_irrigado,3,3,732.5714667,650.5730933,1383.14456
CSC 4304,longo,nao_irrigado,3,4,785.1648,723.212,1508.3768
CSC 4304,longo,nao_irrigado,3,5,864.0762667,800.06696,1664.143227
CSC 497,medio,irrigado,3,1,69.71944,92.26373333,161.9831733
CSC 497,medio,irrigado,3,2,735.5660667,983.2828133,1718.84888
CSC 497,medio,irrigado,3,3,932.9284533,1142.95832,2075.886773
CSC 497,medio,irrigado,3,4,1034.060067,1279.102067,2313.162133
CSC 497,medio,irrigado,3,5,1079.043467,1321.60392,2400.647387
CSC 497,medio,nao_irrigado,3,1,114.5568667,150.7947467,265.3516133
CSC 497,medio,nao_irrigado,3,2,499.2073333,482.8497333,982.0570667
CSC 497,medio,nao_irrigado,3,3,575.092,594.9594,1170.0514
CSC 497,medio,nao_irrigado,3,4,666.4326667,638.1074,1304.540067
CSC 497,medio,nao_irrigado,3,5,764.2133333,694.9554267,1459.16876
CSC 4707,longo,irrigado,3,1,258.5230667,309.0126667,567.5357333
CSC 4707,longo,irrigado,3,2,779.8410667,855.9296667,1635.770733
CSC 4707,longo,irrigado,3,3,1094.5424,1145.171533,2239.713933
CSC 4707,longo,irrigado,3,4,1163.600667,1339.198,2502.798667
CSC 4707,longo,irrigado,3,5,1300.575173,1448.94204,2749.517213
CSC 4707,longo,nao_irrigado,3,1,136.3348,211.6935333,348.0283333
CSC 4707,longo,nao_irrigado,3,2,608.1141733,681.03,1289.144173
CSC 4707,longo,nao_irrigado,3,3,789.0073333,879.8757333,1668.883067
CSC 4707,longo,nao_irrigado,3,4,878.8238667,889.364,1768.187867
CSC 4707,longo,nao_irrigado,3,5,987.1876,971.6242667,1958.811867
CSC 4501,longo,irrigado,3,1,198.4593333,239.09144,437.5507733
CSC 4501,longo,irrigado,3,2,644,786.3025333,1430.302533
CSC 4501,longo,irrigado,3,3,1015.321813,1181.190453,2196.512267
CSC 4501,longo,irrigado,3,4,1274.476,1288.858667,2563.334667
CSC 4501,longo,irrigado,3,5,1566.779013,1475.97072,3042.749733
CSC 4501,longo,nao_irrigado,3,1,183.9693333,281.9603733,465.9297067
CSC 4501,longo,nao_irrigado,3,2,707.70448,808.4947733,1516.199253
CSC 4501,longo,nao_irrigado,3,3,988.8963467,988.057,1976.953347
CSC 4501,longo,nao_irrigado,3,4,1105.415267,1073.548,2178.963267
CSC 4501,longo,nao_irrigado,3,5,1226.656853,1162.3878,2389.044653
BAG 06,longo,irrigado,3,1,216.2208533,228.3194667,444.54032
BAG 06,longo,irrigado,3,2,746.9326667,685.2374667,1432.170133
BAG 06,longo,irrigado,3,3,991.1696667,1016.876,2008.045667
BAG 06,longo,irrigado,3,4,1269.968,1217.911333,2487.879333
BAG 06,longo,irrigado,3,5,1584.358067,1434.1236,3018.481667
BAG 06,longo,nao_irrigado,3,1,123.3217067,199.5197867,322.8414933
BAG 06,longo,nao_irrigado,3,2,494.4095333,535.7436,1030.153133
BAG 06,longo,nao_irrigado,3,3,625.0234667,617.5358933,1242.55936
BAG 06,longo,nao_irrigado,3,4,729.4802667,719.8846667,1449.364933
BAG 06,longo,nao_irrigado,3,5,840.3341333,832.3227733,1672.656907
CSC 4302,medio,irrigado,3,1,129.2293333,128.8322,258.0615333
CSC 4302,medio,irrigado,3,2,837.0690533,793.8373333,1630.906387
CSC 4302,medio,irrigado,3,3,1044.492867,982.7976667,2027.290533
CSC 4302,medio,irrigado,3,4,1210.881,1043.387333,2254.268333
CSC 4302,medio,irrigado,3,5,1298.495053,1103.270747,2401.7658
CSC 4302,medio,nao_irrigado,3,1,135.3902667,177.0141333,312.4044
CSC 4302,medio,nao_irrigado,3,2,538.6437467,598.50784,1137.151587
CSC 4302,medio,nao_irrigado,3,3,729.2548667,714.7756,1444.030467
CSC 4302,medio,nao_irrigado,3,4,766.8966667,769.7946667,1536.691333
CSC 4302,medio,nao_irrigado,3,5,805.4615333,839.3466667,1644.8082
CSC 4303,medio,irrigado,3,1,246.1260667,311.4040533,557.53012
CSC 4303,medio,irrigado,3,2,541.7113333,876.1298,1417.841133
CSC 4303,medio,irrigado,3,3,1084.813707,1143.31896,2228.132667
CSC 4303,medio,irrigado,3,4,1159.146333,1207.5,2366.646333
CSC 4303,medio,irrigado,3,5,1327.96664,1294.27256,2622.2392
CSC 4303,medio,nao_irrigado,3,1,59.9886,89.7414,149.73
CSC 4303,medio,nao_irrigado,3,2,392.9473333,541.443,934.3903333
CSC 4303,medio,nao_irrigado,3,3,551.5430667,694.4273467,1245.970413
CSC 4303,medio,nao_irrigado,3,4,641.7245333,756.4853333,1398.209867
CSC 4303,medio,nao_irrigado,3,5,750.7966667,848.4979067,1599.294573
CSC 444,longo,irrigado,3,1,236.3007733,282.9177867,519.21856
CSC 444,longo,irrigado,3,2,680.0940533,825.286,1505.380053
CSC 444,longo,irrigado,3,3,995.4909067,1148.968987,2144.459893
CSC 444,longo,irrigado,3,4,1307.32,1336.214133,2643.534133
CSC 444,longo,irrigado,3,5,1657.866373,1537.64016,3195.506533
CSC 444,longo,nao_irrigado,3,1,75.18270667,84.92213333,160.10484
CSC 444,longo,nao_irrigado,3,2,598.26312,510.2948667,1108.557987
CSC 444,longo,nao_irrigado,3,3,755.4871333,671.3399467,1426.82708
CSC 444,longo,nao_irrigado,3,4,926.7589333,783.7802,1710.539133
CSC 444,longo,nao_irrigado,3,5,1114.495667,911.6163467,2026.112013
CSC 467,longo,irrigado,3,1,176.7500933,228.0318133,404.7819067
CSC 467,longo,irrigado,3,2,687.8263467,717.4589333,1405.28528
CSC 467,longo,irrigado,3,3,957.93712,947.9980533,1905.935173
CSC 467,longo,irrigado,3,4,1283.492,1249.950333,2533.442333
CSC 467,longo,irrigado,3,5,1421.63,1431.165493,2852.795493
CSC 467,longo,nao_irrigado,3,1,81.5948,179.4978267,261.0926267
CSC 467,longo,nao_irrigado,3,2,641.2479733,691.10216,1332.350133
CSC 467,longo,nao_irrigado,3,3,854.266,816.8066667,1671.072667
CSC 467,longo,nao_irrigado,3,4,911.7537333,911.1526667,1822.9064
CSC 467,longo,nao_irrigado,3,5,1044.868533,1010.865333,2055.733867
